date,heure_debut,heure_fin,gagnant,duree_sec,pct_virus_final,virus_elimines,virus_spawnes_total,cases_nettoyees_wbc,n_wbc,virus_speed,wbc_speed,virus_spawn_interval,virus_spawn_batch,virus_max,boid_separation_radius,boid_w_separation,boid_w_alignment,boid_w_cohesion,boid_w_hunt,boid_w_avoid_wall,virus_win_coverage_pct,wbc_win_time
2026-04-13,22:33:57,22:34:08,virus,95.8,40.02,109,126,1035,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,40.0,120.0
2026-04-13,22:34:08,22:34:18,virus,92.4,40.03,103,122,1040,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,40.0,120.0
2026-04-13,22:34:19,22:34:30,virus,103.8,40.00,120,134,1410,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,40.0,120.0
2026-04-13,22:34:30,22:34:43,wbc,120.1,39.02,144,152,1390,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:34:43,22:34:56,virus,115.7,50.00,128,148,1362,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:34:56,22:35:09,wbc,120.1,41.17,137,152,1422,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:35:09,22:35:23,wbc,120.1,44.38,138,152,1365,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,60.0,120.0
2026-04-13,22:35:23,22:35:35,wbc,120.1,43.62,141,152,1434,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,60.0,120.0
2026-04-13,22:35:35,22:35:49,wbc,120.1,46.27,139,152,1530,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,60.0,120.0
2026-04-13,22:35:49,22:36:03,wbc,120.1,44.85,138,152,1670,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,70.0,120.0
2026-04-13,22:36:03,22:36:18,wbc,120.1,46.09,143,152,1452,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,70.0,120.0
2026-04-13,22:36:18,22:36:32,wbc,120.1,43.11,139,152,1624,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,70.0,120.0
2026-04-13,22:36:32,22:36:45,wbc,120.1,42.54,138,152,1475,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,80.0,120.0
2026-04-13,22:36:45,22:36:59,wbc,120.1,47.12,136,152,1586,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,80.0,120.0
2026-04-13,22:36:59,22:37:13,wbc,120.1,49.35,137,152,1322,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,80.0,120.0
2026-04-13,22:37:14,22:37:21,wbc,60.0,29.30,71,86,540,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,60.0
2026-04-13,22:37:21,22:37:29,wbc,60.0,29.37,71,86,734,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,60.0
2026-04-13,22:37:29,22:37:37,wbc,60.0,31.94,67,86,635,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,60.0
2026-04-13,22:37:37,22:37:48,wbc,90.1,40.29,104,120,1027,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,90.0
2026-04-13,22:37:49,22:37:59,wbc,90.1,35.53,106,120,1089,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,90.0
2026-04-13,22:38:00,22:38:10,wbc,90.1,39.70,106,120,1060,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,90.0
2026-04-13,22:38:11,22:38:25,wbc,120.1,48.71,142,152,1568,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:38:25,22:38:39,wbc,120.1,47.15,136,152,1621,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:38:39,22:38:53,wbc,120.1,44.78,138,152,1670,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:38:54,22:39:09,virus,130.7,50.01,138,164,1651,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,150.0
2026-04-13,22:39:09,22:39:24,virus,124.7,50.00,146,158,1433,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,150.0
2026-04-13,22:39:24,22:39:39,virus,133.3,50.04,148,168,1757,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,150.0
2026-04-13,22:39:39,22:39:54,virus,134.2,50.01,152,168,1510,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,180.0
2026-04-13,22:39:55,22:40:11,virus,143.6,50.01,164,178,1542,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,180.0
2026-04-13,22:40:11,22:40:28,virus,139.6,50.00,160,174,1928,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,180.0
2026-04-13,22:40:28,22:40:43,wbc,120.1,47.05,136,152,1762,14,35.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:40:44,22:40:57,wbc,120.1,43.69,139,152,1182,14,35.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:40:57,22:41:11,wbc,120.1,45.50,137,152,1394,14,35.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:41:11,22:41:25,wbc,120.1,44.51,140,152,1384,14,45.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:41:25,22:41:39,wbc,120.1,44.09,130,152,1386,14,45.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:41:40,22:41:54,wbc,120.1,46.42,129,152,1450,14,45.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:41:55,22:42:09,virus,114.9,50.01,128,146,1216,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:42:09,22:42:22,wbc,120.1,44.53,136,152,1227,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:42:22,22:42:37,wbc,120.1,48.62,140,152,1495,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:42:38,22:42:52,wbc,120.1,48.71,132,152,1445,14,65.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:42:52,22:43:05,wbc,120.1,44.19,138,152,1454,14,65.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:43:05,22:43:19,virus,119.6,50.01,135,152,1318,14,65.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:43:19,22:43:34,wbc,120.1,48.94,135,152,1298,14,75.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:43:34,22:43:48,wbc,120.1,46.76,138,152,1469,14,75.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:43:48,22:44:02,wbc,120.1,42.01,139,152,1555,14,75.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:44:02,22:44:17,wbc,120.1,48.99,134,152,1511,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:44:17,22:44:32,wbc,120.1,48.49,141,152,1526,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:44:33,22:44:46,wbc,120.1,43.91,139,152,1259,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:44:47,22:45:00,wbc,120.1,40.38,139,152,1617,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:45:00,22:45:15,wbc,120.1,46.35,139,152,1694,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:45:15,22:45:29,wbc,120.1,43.77,138,152,1496,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:45:29,22:45:43,wbc,120.1,46.71,138,152,1368,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:45:43,22:45:57,wbc,120.1,45.52,138,152,1582,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:45:57,22:46:12,wbc,120.1,43.21,136,152,1494,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
2026-04-13,22:46:12,22:46:27,wbc,120.1,48.47,135,152,1576,14,55.0,75.0,1.8,2,120,30.0,1.8,0.9,0.7,1.4,2.0,50.0,120.0
